,店名,ジャンル,住所,電話番号,予算目安(下代),予算目安(上代),定休日,営業時間,店のリンク,最寄駅
316,"

ヴィラッツァ（VILLAZZA）
            
","
イタリアン、カフェ、バル
","
東京都渋谷区代々木2-3-1 ホテルサンルートプラザ新宿 1F






","

050-5570-6709

","￥5,000","￥5,999","
年中無休
","

ランチ[平　日] 11:30～15:00[土日祝]  11:30～15:30 ディナー[月～土] 17:00～22:00[日　祝]  休カフェ[平日、土曜日] 15:00～16:30カフェ利用のご予約不可
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13043425/,新宿駅
317,"

不風流

","
日本料理、海鮮
","
東京都港区東麻布2-33-5 第四松坂ビル1F






","

050-5571-9874

","￥15,000","￥19,999","
不定休
","

17:00～23:00
日曜営業
",https://tabelog.com/tokyo/A1307/A130702/13180257/,麻布十番駅
318,"

リゾットカレースタンダード（RISOTTO CURRY STANDARD）
            
","
イタリアン、カレー、ビストロ
","
東京都渋谷区桜丘町16-8 桜丘ビル B1F






","

050-5869-7746

","￥3,000","￥3,999","
3月13.19.22.26.27日はお休みさせていただきます
","

火〜木　　　18:00〜24:00（LO 23:00）金・祝前日　18:00〜25:00（LO 24:00）土　　　　　17:00〜25:00（LO 24:00）日・祝　　　17:00〜24:00（LO 23:00）
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13126359/,渋谷駅
319,"

焼肉ストーリー 水道橋店

","
焼肉、居酒屋、日本料理
","
東京都千代田区神田三崎町1-4-8 愛光舎ビル B1F






","

050-5456-5507

","￥8,000","￥9,999",：16.23.24.30日2月,"

1月",https://tabelog.com/tokyo/A1310/A131003/13242888/,水道橋駅
320,"

鳥元 虎ノ門店（とりげん）
            
","
焼き鳥、居酒屋、水炊き
","
東京都港区虎ノ門1-5-14 日土地虎ノ門1丁目ビル






","

050-5590-6152

","￥3,000","￥3,999","
土曜・日曜・祝日　年末年始
","

【月～木・祝前日】ランチ11:30-14:30/ディナー17:00-22:00【金】ランチ11:30-14:30/ディナー17:00-22:30※今後の状況次第では、営業日及びを変更させて頂く場合がございます。
",https://tabelog.com/tokyo/A1308/A130802/13019433/,虎ノ門駅
321,"

串焼BISTRO 福みみ コリドー店

","
居酒屋、焼き鳥、鳥料理
","
東京都中央区銀座6-2先 コリドー街ＧＩＮZAはなれ B1F






","

050-5872-4796

","￥3,000","￥3,999","
不定休
","

【全日】16時〜23時30分（LO23:00）
日曜営業
",https://tabelog.com/tokyo/A1301/A130101/13255508/,日比谷駅
322,"

ジーニーズ（GENIE'S）
            
","
ダイニングバー、ハンバーガー、ピザ
","
東京都町田市森野1-35-8 ヴィンテージ2 1F






","

050-5593-6131

","￥3,000","￥3,999","
12/31、1/1、1/2休業予定。その他不定休　　尚やむを得ず休業になる日時もございますのでお問い合わせ下さいませ。
","

当面の間基本的に、ラストオーダー22:00、閉店時間23:00となります。(金、土、祝前日はラストオーダー22:30)止むを得ず休業となる日時もございます。お問い合わせ下さい。[月、火、水、木、金]ランチ11:30-14:00(L.O)ディナー17:00-23:00(22:00L.O)土日祝日]11:30-23:00(22:00L.O)
日曜営業
",https://tabelog.com/tokyo/A1327/A132701/13196243/,町田駅
323,"

武蔵野うどん 一彩本店（いちや）
            
","
うどん、カレーうどん、天丼
","
東京都調布市菊野台3-33-5 






","

050-5596-0576

",,,"
木曜日
","

2月25日土曜日は臨時休業とさせていただきます平日昼11:30～14：00土・日・祝日昼11：30～15：30（LO.15：00）麺・出汁がなくなり次第、営業終了感染防止対策ため当面、夜の営業は自粛としますお酒の販売も中止とします
日曜営業
",https://tabelog.com/tokyo/A1326/A132601/13140351/,柴崎駅
324,"

スタンド次世代 渋谷店

","
居酒屋、焼き鳥、もつ焼き
","
東京都渋谷区道玄坂2-25-17 






","

050-5600-1932

","￥2,000","￥2,999","
無休
","

15:00～翌05:00（L.O.翌04:00）
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13281603/,渋谷駅
325,"

焼鳥 宮屋

","
焼き鳥、居酒屋、ラーメン
","
東京都杉並区上荻1-4-7 流動ビル2F






","

050-5594-1537

","￥6,000","￥7,999","
月曜日、火曜日  
","

　17:00〜23:00　
日曜営業
",https://tabelog.com/tokyo/A1319/A131906/13210602/,荻窪駅
326,"

オザミトーキョー（AUXAMIS TOKYO）
            
","
フレンチ、ワインバー、ビストロ
","
東京都千代田区丸の内2-4-1 丸の内ビルディング 35F






","

050-5592-5159

","￥15,000","￥19,999","
ビルの休館日に順ずる
","

ランチタイム月～日　11:30～15:30（L.O 14:30）ディナータイム月～金　17:30～22:30（L.O 21:00) 土　　　17:00〜22:30（L.O 21:00) 日・祝   17:00～22:00（L.O 21:00) 
",https://tabelog.com/tokyo/A1302/A130201/13004059/,二重橋前駅
327,"

焼肉酒家 明香苑 亀戸店

","
焼肉、居酒屋、ホルモン
","
東京都江東区亀戸2-26-6 加藤ビル1F






","

050-5597-7789

","￥3,000","￥3,999","
毎週水曜日(祝日により変更有)
","

平日：17:00 ～ 23:30土曜：15:30 ～ 23:30日祝：15:30 ～ 22:30
日曜営業
",https://tabelog.com/tokyo/A1312/A131202/13237704/,亀戸駅
328,"

まさや食堂 二号店

","
居酒屋、焼き鳥、もつ鍋
","
東京都渋谷区神宮前1-16-6 原宿77ビル B1F






","

050-5872-2796

","￥2,000","￥2,999","
年中無休
","

［月～日・祝日・祝前日］11:30～１５：３０ （料理・ドリンクL.O.15:00)17:00～21:00 （料理.ドリンクL.O.20:00）
日曜営業
",https://tabelog.com/tokyo/A1306/A130601/13254446/,原宿駅
329,"

鮨處八千代 飯田橋店

","
寿司、日本料理、海鮮
","
東京都新宿区神楽河岸1-1 飯田橋セントラルプラザ ラムラ 2F






","

050-5589-3511

","￥4,000","￥4,999","
年末年始・お盆
","

11:00～22:30（L.O.22:00）
日曜営業
",https://tabelog.com/tokyo/A1309/A130905/13035122/,飯田橋駅
330,"

大阪焼肉・ホルモン ふたご 八王子店

","
焼肉、ホルモン
","
東京都八王子市東町10-6 三吉ビル東町 1F






","

050-5456-0594

","￥3,000","￥3,999","
年中無休（1/1～1/3除く）
","

＜平日＞17:00〜23:30(L.O.23:00)<土日祝>12:00〜23:30(L.O.23:00）
日曜営業
",https://tabelog.com/tokyo/A1329/A132904/13238638/,八王子駅
331,"

銀座羊屋 はなれ

","
ジンギスカン、焼肉、ホルモン
","
東京都中央区銀座3-8-8 太郎坊ビル　１Ｆ






","

03-3561-7887

","￥4,000","￥4,999","
年中無休  1月1日休み
","

平日　ランチ11:30から14:30   ディナー17:00〜24:00土曜日日曜日祝日:11:30〜15:30デイナー17:00〜24：00日曜祝日営業当日20時以後の席の空き状況、電話で確認してお願いします。ランチの予約も電話で受け付けます
日曜営業
",https://tabelog.com/tokyo/A1301/A130101/13119171/,東銀座駅
332,"

SonoContento（ソノコンテント）
            
","
イタリアン、パスタ、ワインバー
","
東京都中央区築地7-11-4 1F






","

050-5589-2167

","￥4,000","￥4,999","
日曜日、祝日
","

11:30～14:30(料理L.O.14:00 ドリンクL.O.14:00)17:00～22:00(料理L.O.21:00 ドリンクL.O.21:30)
",https://tabelog.com/tokyo/A1313/A131301/13256969/,築地駅
333,"

日本酒と海鮮 痛風屋 池袋西口店

","
海鮮、居酒屋、オイスターバー
","
東京都豊島区西池袋1-38-5 セイコービル 8F






","

050-5456-3729

","￥6,000","￥7,999","
年中無休
","

■月～金・祝前17:00～24:00■土・日・祝16:00～24:00※駅から近いお店です！お気軽にご来店ください！
日曜営業
",https://tabelog.com/tokyo/A1305/A130501/13241602/,池袋駅
334,"

REISM STAND（リズム スタンド）
            
","
カフェ、居酒屋
","
東京都渋谷区鶯谷町6-6 グリーンハイツ鶯谷 2F






","

050-5594-4406

","￥2,000","￥2,999","
不定休
","

《平日.土.祝前日》11:00〜22:00《日.祝日》11:00〜17:00※月曜が祝日の場合も日曜は短縮のとなります。※テイクアウトドリンク 9:30〜※フード ラストオーダー 21:00※アルコール/ソフトドリンクラストオーダー 21:30
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13212993/,渋谷駅
335,"

あぶりどりバリ鳥 恵比寿（バリチョウ）
            
","
焼き鳥、バル、居酒屋
","
東京都渋谷区恵比寿南1-1-4 恵比寿スカイビル　1F






","

050-5868-3346

","￥2,000","￥2,999","
不定休
","

【月～木】17:00-23:00(Lo22:00)【金・土 (翌日祝日)】 16:00-23:00(Lo22:00)【日祝 (翌日平日)】16:00-22:00(Lo21:00)
日曜営業
",https://tabelog.com/tokyo/A1303/A130302/13016621/,恵比寿駅
336,"

鳥佳 溜池山王店（トリヨシ）
            
","
焼き鳥、串焼き、居酒屋
","
東京都港区赤坂1-1-16 細川ビル 1F






","

050-5590-1382

","￥3,000","￥3,999","
日曜日
","

11:30～14:30 17:00～24:00(L.O.23:00)
",https://tabelog.com/tokyo/A1308/A130802/13174974/,溜池山王駅
337,"

焼肉うしどし 新宿

","
焼肉、韓国料理、居酒屋
","
東京都渋谷区代々木2-11-12 南新宿セントラルビル B1F






","

050-5890-2991

","￥5,000","￥5,999","
不定休
","

16：00～24：00外（12：00～16：00）の宴会ご予約も承り中です。お電話にてお問い合わせください。
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13258530/,南新宿駅
338,"

韓国焼肉 萬和苑（バンワエン）
            
","
焼肉、居酒屋、韓国料理
","
東京都新宿区新宿4-1-13 6F






","

050-5571-2164

","￥3,000","￥3,999","
不定休
","

[全日]11:00～翌0:00（料理L.O. 23:00 ドリンクL.O. 23:30）
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13256162/,新宿駅
339,"

魚撃（うおげき）
            
","
焼き鳥、海鮮、釜飯
","
東京都新宿区四谷1-7-27 第43東京ビル B1F






","

050-5869-6034

","￥3,000","￥3,999","
不定休
","

ディナー　17：00-23：00
",https://tabelog.com/tokyo/A1309/A130902/13117979/,四ツ谷駅
340,"

焼肉 国立ゆえ

","
焼肉、韓国料理、居酒屋
","
東京都国立市中1-8-9 田中ビル 1F






","

050-5868-2774

","￥5,000","￥5,999","
無し
","

[月～金]17:00〜22:00（L.O21:30）[土・日・祝]11:30～15:0017:00～22:00（L.O21:30）
日曜営業
",https://tabelog.com/tokyo/A1325/A132503/13266196/,国立駅
341,"

マグロと信玄どり 完全個室 伊勢屋 錦糸町店

","
居酒屋、海鮮、焼き鳥
","
東京都墨田区錦糸2-4-10 ナカズビル 6F






","

050-5457-0667

","￥3,000","￥3,999","
無休
","

[月～日・祝日・祝前日]11:00～24:00（L.O.23:00、ドリンクL.O.23:30）■感染対策万全で24時まで営業しております。入店時の検温.アルコール消毒のご協力お願い致します。 ■予告なく等は変更となる場合がございますので、ご来店される際は店舗までお問い合わせください。■ペット同伴不可
日曜営業
",https://tabelog.com/tokyo/A1312/A131201/13250035/,錦糸町駅
342,"

ブラッスリー アミカル（Brasserie Amicale）
            
","
フレンチ、ビストロ、カフェ
","
東京都立川市柴崎町2-3-13 






","

050-5869-3943

","￥4,000","￥4,999","
第１月曜、毎週火曜日
","

11:45～15:0017:30～22:00お電話でのお問合せは11:00～22:00ですと繋がりやすくなっております。
日曜営業
",https://tabelog.com/tokyo/A1329/A132901/13112821/,立川南駅
343,"

炭火焼鳥 塚田農場 多摩センター店

","
焼き鳥、居酒屋、ダイニングバー
","
東京都多摩市落合1-10-1 京王多摩センター 1F






","

042-311-1577

","￥3,000","￥3,999","なし月〜金・祝前　16:00〜23:00（LO22:00）土日・祝　　　15:00〜22:30（LO22:00）
日曜営業
","

",https://tabelog.com/tokyo/A1327/A132702/13260456/,京王多摩センター駅
344,"

魚の旨い店 池袋店

","
海鮮、居酒屋、日本酒バー
","
東京都豊島区南池袋2-16-12 






","

050-5593-4847

","￥4,000","￥4,999","
日曜・祝日
","

月〜土ランチ　11:30〜14:30 (L.O14:00)ディナー17:00〜23:00(L.O22:00)
",https://tabelog.com/tokyo/A1305/A130501/13159900/,池袋駅
345,"

牛牛 西麻布 総本店（ぎゅうぎゅう）
            
","
焼肉、牛料理、ワインバー
","
東京都港区西麻布1-2-3 アクティブ六本木 B1F






","

050-5869-2788

","￥10,000","￥14,999","
年末年始のみ【18時〜21時からのご予約に関しましてはお電話にてお問い合わせ下さいませ】
","

[月～日・祝]17:00～24:00(L.O23:00)【18時〜21時からのご予約に関しましてはお電話にてお問い合わせ下さいませ】
日曜営業
",https://tabelog.com/tokyo/A1307/A130701/13130902/,六本木駅
346,"

宗胡（ソウゴ）
            
","
日本料理、カフェ
","
東京都港区六本木6-1-8 六本木グリーンビル 3F






","

050-5571-7777

","￥15,000","￥19,999","
日曜日・祝日
","

ランチタイム　11:30～15:00(L.O14:00)ディナータイム　17:30～23:00(L.O21:30)
",https://tabelog.com/tokyo/A1307/A130701/13179815/,六本木駅
347,"

赤坂 Na Camo guro（ナカモグロ）
            
","
ビストロ、ダイニングバー、ワインバー
","
東京都港区赤坂3-9-2 No.R赤坂見附 B1F






","

050-5589-2427

","￥6,000","￥7,999","
年末年始
","

17:00-23:00
日曜営業
",https://tabelog.com/tokyo/A1308/A130801/13272224/,赤坂見附駅
348,"

韓国料理スンチャン

","
韓国料理、居酒屋
","
東京都品川区平塚2-14-9 ドムール戸越 1F






","

050-5593-8207

","￥2,000","￥2,999","
年中無休
","

[月～日]11:30～15:00(L.O14:30)17:00～23:00(L.O22:00)
日曜営業
",https://tabelog.com/tokyo/A1317/A131712/13147946/,戸越銀座駅
349,"

しゃぶしゃぶ れたす 中目黒本店

","
しゃぶしゃぶ、鍋、すき焼き
","
東京都目黒区上目黒2-12-1 Rootus Nakamguro 2F






","

050-5594-5733

","￥3,000","￥3,999","
年末年始
","

[平日]11:00～15:00（LO14:00）17:00～22:00（LO21:30）(入店ラスト21:00)[土日祝]11:00～15:00（LO14:00）17:00～23:00（LO22:30）(入店ラスト22:00)
日曜営業
",https://tabelog.com/tokyo/A1317/A131701/13213490/,中目黒駅
350,"

セラフィーナ ニューヨーク 丸の内店（Serafina NEW YORK）
            
","
イタリアン、カフェ、ダイニングバー
","
東京都千代田区丸の内1-1-1 パレスビル B1F






","

050-5869-1849

","￥5,000","￥5,999","
日曜日
","

【LUNCH】11:00～15:00 【CAFE】15:00-17:00【DINNER】17:00～22:00（L.O 21:00）
",https://tabelog.com/tokyo/A1302/A130201/13138919/,大手町駅
351,"

九州産直 炉端かてて 八丁堀はなれ

","
居酒屋、日本酒バー、ろばた焼き
","
東京都中央区八丁堀3-18-11 八丁堀サウスビル 1F






","

050-5594-7903

","￥4,000","￥4,999","
日曜・祝　＊年末年始のお知らせ：12/30～1/4までお休みをいただきます。
","

【月〜金】ランチ：11:00〜15:00(L.O.14:30）ディナー：17:30～23:00(L.O.22:00)【土】ランチ：11:00〜15:00(L.O.14:30）ディナー：17:30～22：30(L.O.22:00)
",https://tabelog.com/tokyo/A1302/A130203/13215720/,八丁堀駅
352,"

韓国料理 Ku-Fuku 権之助坂店（クウフク）
            
","
韓国料理、居酒屋、焼肉
","
東京都目黒区目黒1-4-8 東レクビル 1F






","

050-5890-5349

","￥5,000","￥5,999","は変更となる場合がございますので、ご来店前に店舗にご確認ください。
日曜営業
","

[ランチ]11:30～15:00(L.O.14:00)[ディナー]17:30～24:00(L.O.23:30)・",https://tabelog.com/tokyo/A1316/A131601/13260163/,目黒駅
353,"

大衆酒場 文太（【旧店名】ぼくの空間 大番）
            
","
居酒屋、海鮮
","
東京都国分寺市本町2-3-7 NFビル2階






","

050-5594-2081

","￥2,000","￥2,999","
なし
","

【月ｰ日】17：00頃～24：00料理・ドリンクラストオーダー23：30(１７時以前にご予約をご希望のお客様は前日までにお電話にてご相談ください)
日曜営業
",https://tabelog.com/tokyo/A1325/A132502/13094430/,国分寺駅
354,"

よし澤

","



日本料理 百名店 2023 選出店




食べログ 日本料理 TOKYO 百名店 2023 選出店



","
予約可
ご予約に関しましてお昼は11時30分、12時、12時30分夜は18時、18時30分、19時、19時30分の時間からスタートさせて頂いております。遅れてきたり、早く来すぎたりするとその時間からお料理がスタート出来ない事があります。皆様により良い物をご提供できるようそうさせて頂いております。ご理解の程よろしくお願い致します。
","
日本料理
",,,,"
地下鉄日比谷線 六本木駅 徒歩2分都営大江戸線 六本木駅 徒歩5分
六本木駅から314m
",https://tabelog.com/tokyo/A1307/A130701/13226102/,六本木駅
355,"

世界のビール博物館 東京スカイツリータウン・ソラマチ店

","
ビアホール、イタリアン、ビアガーデン
","
東京都墨田区押上1-1-2 東京ソラマチ 7F






","

050-5868-0657

","￥4,000","￥4,999","
無休（施設の営業に準じます）
","

【全日】11:00～23:00(L.022:30)※情報は予告なく変更されます。　詳しくは店舗までお問合せください。
日曜営業
",https://tabelog.com/tokyo/A1312/A131203/13140951/,押上駅
356,"

ステーキ＆ハンバーグ専門店 肉の村山 新小岩店

","
ステーキ、焼肉、ハンバーグ
","
東京都葛飾区新小岩1-56-10 新小岩スカイマンション 1F






","

050-5457-0825

","￥1,000","￥1,999","
無休
","

11:30～14:30(LO14:00)17:00〜22:00(LO21:30 ※アルコールはLO21:00)
",https://tabelog.com/tokyo/A1312/A131204/13186232/,新小岩駅
357,"

銀座ひらい

","
海鮮、郷土料理、日本料理
","
東京都中央区銀座5-9-5 






","

050-5456-4941

","￥6,000","￥7,999","
毎月、曜日に関係なく不","

2022、3/23より【全日】ランチ　　11:30～15:00（L.O.14:30）ディナー　17:30～22:00　　　　　（フードラストオーダー　21:00）　　　　　（ドリンクラストオーダー21:30）
日曜営業
",https://tabelog.com/tokyo/A1301/A130102/13157586/,東銀座駅
358,"

かまくら個室ビストロ KAMAKURA 錦糸町

","
居酒屋、肉バル、ビストロ
","
東京都墨田区江東橋3-11-3 ソシアル錦糸町ビル B1F






","

050-5457-9838

","￥4,000","￥4,999","
12月31日~1月3日は休業日となります。
","

【月〜金】16:00〜23:00【土・日・祝】16:00〜23:00※は変更となる場合がございます。23時以降にご来店の場合は、お手数ですが、事前にお問い合わせください。
日曜営業
",https://tabelog.com/tokyo/A1312/A131201/13251517/,錦糸町駅
359,"

芝浦食肉 池袋東口店

","
ホルモン、焼肉、居酒屋
","
東京都豊島区南池袋2-16-8 鈴和ビル 1F






","

050-5868-2614

","￥3,000","￥3,999","
なし
","

【月〜金】16:00〜23:00(LO.22:30)【土】12:00〜23:00(LO.22:30)【日】12:00〜22:00(LO.21:30)予告なくの短縮させて頂くことがございます。予めご了承くださいませ。
日曜営業
",https://tabelog.com/tokyo/A1305/A130501/13131293/,池袋駅
360,"

雷門 き介（カミナリモンキスケ）
            
","
居酒屋、焼き鳥、おでん
","
東京都台東区雷門2-3-12 






","

03-5246-8221

","￥4,000","￥4,999","
年中無休
","

ランチ　 【月～金】　　　　　　 11:30～14:30(L.O 14:00) ディナー　 16:00～23:00(L.O 22:15)           【土・日・祝】　　　　　　 11:30～23:00(L.O 22:15)
日曜営業
",https://tabelog.com/tokyo/A1311/A131102/13052970/,浅草駅（東武・都営・メトロ）
361,"

西新宿 魚たか

","
海鮮、居酒屋、創作料理
","
東京都新宿区西新宿7-15-5 佐奈ビル 2F-B






","

050-5457-1072

","￥4,000","￥4,999","
不定休
","

16:00～23:30（L.O 23:00）
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13249271/,新宿西口駅
362,"

ガストロノミー OLLA

","
ビストロ、イタリアン、スペイン料理
","
東京都港区赤坂1-8-1 赤坂インターシティーAIR 1F






","

050-5600-2431

","￥4,000","￥4,999","
日曜日
","

[月～金]11:00～14:00(L.O13:30)17:00～22:30(L.O22:00)[土・日・祝]11:30～14:3017:30～22:00(L.O21:30)
",https://tabelog.com/tokyo/A1308/A130802/13282220/,溜池山王駅
363,"

中華居酒屋 彩味園 茅場町店（サイミエン）
            
","
中華料理、居酒屋、餃子
","
東京都中央区日本橋茅場町2-16-11 






","

050-5872-3710

","￥4,000","￥4,999","
日曜日
","

ランチ　11:00～15:00（L.O.15:00）ディナー　17:00～23:00（L.O.22:30）
",https://tabelog.com/tokyo/A1302/A130203/13102551/,茅場町駅
364,"

赤坂 ごだいご

","
居酒屋、おでん、焼き鳥
","
東京都港区赤坂3-10-4 赤坂月世界ビル　６Ｆ






","

050-5872-3676

","￥3,000","￥3,999","
日曜・祝日
","

[月～木] 17:00～23:30[金] 17:00～24:00[土] 17:00～23:00
",https://tabelog.com/tokyo/A1308/A130801/13019354/,赤坂見附駅
365,"

Les deux（レドゥー 【旧店名】オー・コアン・ドゥ・フー）
            
","
フレンチ、ビストロ、海鮮
","
東京都目黒区上目黒2-7-2 PIROUETTE101






","

03-6412-8212

","￥10,000","￥14,999","
月曜日、第3火曜日(祝日の場合翌日代休)
","

Dinner18:00〜22:30(最終入店19:30)※情勢により変動あり
日曜営業
",https://tabelog.com/tokyo/A1317/A131701/13134304/,中目黒駅
366,"

焼肉トラジ 上野店

","
焼肉、ホルモン、韓国料理
","
東京都台東区上野2-14-31 レイクサイドビル 5F






","

050-5590-1229

","￥6,000","￥7,999","
無休
","

※平日17:00～24:00（ラストオーダー23:00）土日祝日11:30～15:00（ラストオーダー14:00）17:00〜23:00（ラストオーダー22:00）
日曜営業
",https://tabelog.com/tokyo/A1311/A131101/13022066/,京成上野駅
367,"

町の洋食屋さん 正幸

","
洋食、カフェ、ハンバーグ
","
東京都中野区新井5-1-2 






","

050-5590-4511

","￥2,000","￥2,999","
水曜日（祝日の場合は翌日木曜定休）
","

○3月～5月月　11:30〜15:00（料理L.O.14:30）夜 特別営業（その週により変わる、臨時休業の場合もございますので、前日までのご予約またはお問い合わせ下さい）火、木、金　ランチ11:30～15:00（料理L14:30）ディナー17:30～23:00 （料理L22:00、ドリンクL22:30）土、日、祝日　11:30〜20:30（料理L19:30、ドリンクL20:00）
日曜営業
",https://tabelog.com/tokyo/A1321/A132104/13277266/,新井薬師前駅
368,"

鮨おにかいたすいち（＋1）
            
","
寿司、日本料理、海鮮
","
東京都目黒区上目黒3-9-5 プラージュ目黒 3F






","

050-5869-5651

","￥10,000","￥14,999","
不定休
","

：（完全予約制）Lunch：12:00〜14:30（日曜日のみ）Dinner：18:00～と20:30〜の2部制
日曜営業
",https://tabelog.com/tokyo/A1317/A131701/13252634/,中目黒駅
369,"

逸品料理屋 流石（ながれいし【旧店名】赤坂 転石亭）
            
","
日本料理、居酒屋、ふぐ
","
東京都港区赤坂3-15-9 萬屋ビル　Ｂ１Ｆ






","

050-5570-0602

","￥8,000","￥9,999","
土曜・日曜・祝日　　
","

ランチ　　[月～金]　11:30～14:30ディナー　[月～金]　17:30～23:00(L.O.22:00)※ランチのご予約はコース予約のみ受付ております。
",https://tabelog.com/tokyo/A1308/A130801/13032831/,赤坂駅
370,"

ゆいま～る食堂　 三軒茶屋店

","
沖縄料理、居酒屋、海鮮
","
東京都世田谷区太子堂2-24-6 ドミー三軒茶屋Ｂ１Ｆ






","

050-5596-8261

","￥3,000","￥3,999","
年中無休 (イベントなどでお休みを頂く場合もございます)
","

【ディナー】18：00～
日曜営業
",https://tabelog.com/tokyo/A1317/A131706/13168365/,三軒茶屋駅
371,"

鳥さん酒場

","
焼き鳥、居酒屋、もつ鍋
","
東京都港区芝5-21-15 伊藤ビル 1F






","

050-5571-7039

","￥3,000","￥3,999","
なし
","

[月～日]16:00～24:00／23:30(L.O)
日曜営業
",https://tabelog.com/tokyo/A1314/A131402/13265828/,三田駅
372,"

白金 イゾラ（ISOLA）
            
","
イタリアン、ピザ、パスタ
","
東京都港区白金6-17-2 西村ビル　１Ｆ






","

050-5868-3317

","￥5,000","￥5,999","
定休なし
","

終日11:30～15:00(L.O.14:30)　17:00～22:30(L.O.21:30)予告なしにが変更する恐れがあります。また、貸し切り等によりご案内ができない場合もあります。
日曜営業
",https://tabelog.com/tokyo/A1316/A131602/13004576/,白金台駅
373,"

TradGras

","
ダイニングバー、居酒屋、イタリアン
","
東京都世田谷区三軒茶屋2-11-11 2F






","

050-5597-5062

","￥4,000","￥4,999","
日曜、月曜 ","

[火～金]ランチ    11:30〜15:00（L.O14:00）ディナー 17:00〜24:00（L.O23:00）[土・祝]ランチ    11:30〜15:00（L.O14:00）ディナー 17:00〜24:00（L.O23:00）
",https://tabelog.com/tokyo/A1317/A131706/13223794/,三軒茶屋駅
374,"

寿司海鮮個室居酒屋 井砂 新宿店

","
居酒屋、海鮮、寿司
","
東京都新宿区新宿3-20-5 6F C






","

050-5589-5388

","￥3,000","￥3,999","
年中無休（ビルの休館日に準じます）
","

16:00～24:00上記のの他に12：00～16：0024：00～29：30等の時間外営業も承っております。お電話にてお問い合わせ下さい。
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13225369/,新宿三丁目駅
375,"

九州うまいもんと焼酎 芋蔵 銀座店（いもぞう）
            
","
居酒屋、もつ鍋、しゃぶしゃぶ
","
東京都中央区銀座8-3先 東京高速道路西土橋ビル　２Ｆ






","

050-5589-5080

","￥4,000","￥4,999","
日曜、祝日 
","

月～木、土17:00～23:30（L.O.22:30、ドリンクL.O.23:00）金17:00～翌２:00（L.O.1:00、ドリンクL.O.1:30）（連休の場合は閉店23:30) 銀座で馬刺し・モツ鍋の美味しい居酒屋といえば“芋蔵 銀座店”！
",https://tabelog.com/tokyo/A1301/A130103/13027544/,内幸町駅
376,"

オプティマムイーツ  自由が丘

","
バル、野菜料理、カフェ
","
東京都目黒区自由が丘1-8-18 自由が丘ノーブル 4F






","

050-5890-2515

","￥2,000","￥2,999","
月曜日（月曜が祝日の場合は、月曜営業の火曜休みとなります。)
","

11:00～22:00ランチ：L.O.15:00 ディナー：L.O.21:30
日曜営業
",https://tabelog.com/tokyo/A1317/A131703/13265773/,自由が丘駅
377,"

赤バル レッツェ 赤羽店（赤バル RETZE）
            
","
ピザ、バル、イタリアン
","
東京都北区赤羽1-12-4 １F






","

050-5872-7463

","￥2,000","￥2,999","
不定休
","

[月～金]16:00～23：30[土・日・祝]13:00～23:30※東京都の自粛要請に準じます
日曜営業
",https://tabelog.com/tokyo/A1323/A132305/13119034/,赤羽駅
378,"

肉のヒマラヤとだしおこ 池袋店

","
鉄板焼き、居酒屋、お好み焼き
","
東京都豊島区東池袋1-2-5 東輝ビル 2F・3F






","

050-5590-5869

","￥5,000","￥5,999","
12/31 1/1
","

[平日]ディナータイム 17:00～23:30(L.O.23:00)[土日祝]11:30～23:30(L.O.23:00)
日曜営業
",https://tabelog.com/tokyo/A1305/A130501/13278021/,池袋駅
379,"

土蛍

","
もんじゃ焼き、お好み焼き、焼肉
","
東京都世田谷区若林3-15-3 若林ハイホーム103






","

050-5589-3678

","￥2,000","￥2,999","
無休
","

平日  17:00～翌5:00（LO4：00）土日祝日  11:30〜翌5:00（LO4：00）
日曜営業
",https://tabelog.com/tokyo/A1317/A131709/13034790/,松陰神社前駅
380,"

神楽坂ささ木（さ々木、ささき）
            
","
日本料理、ふぐ、海鮮
","
東京都新宿区新小川町8-6 寺崎ビル 1F






","

050-5869-3783

","￥10,000","￥14,999","
月曜日
","

ランチ [木～日]11:30~13:30  13:00(L.O)当面の間、お時間何時でもご連絡いただければ営業致します。ディナー [火～土］17:30~22:00　21:30(L.O) ＊ラスト入店20:00
日曜営業
",https://tabelog.com/tokyo/A1309/A130905/13049244/,飯田橋駅
381,"

ワイン＆ダイニング 恵比寿山の上バル

","
バル、ワインバー、イタリアン
","
東京都渋谷区恵比寿南1-16-3 1F






","

050-5890-2062

","￥5,000","￥5,999","【日曜日】※日曜日営業、月曜日が祝日の場合は日曜営業、翌月曜日が休みになります。
","

ランチ【月～金曜日】12:00～15:00ディナー【月～土曜日】17:00～23:00　",https://tabelog.com/tokyo/A1303/A130302/13164900/,恵比寿駅
